comment,labels
Learn 20+ AI Tools and supercharge your productivity,"[2, 3, 2, 2, 2, 2, 2, 2]"
The private school mafia needs a full expos Youre the only one bold enough to do it,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv is on a mission to change todays generation Salute to him,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Someone is still doing quality journalism We need more people like you in the industry my dude,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv sir this is an eye opener Pls keep bringing more videos on this topic,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
He is the person who is raising the real issue of india Hats off to you man,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Thank you for revealing that even individuals like mafias live freely while the poor continue to suffer in this unsafe country,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Very much needed Please make a video on climate change and conservation since its a need of the hour,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
You are really taking up topics that truly matter the most in this country alongwith suggesting actual solutions,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
We want a video on the private school mafia Its high time you step in and spread awareness Great job Dhruv,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Next topic : Indian Private school mafia Aapse niwedan hai ispe jaroor ek video bnaye,"[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]"
Is tarah ki vedio banane ke liye bahut sukhriya no one is taking about this topic it may be the big concerns for indian,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Eye opening topic,"[2, 2, 2]"
Thank you again for this much needed topic dear brother This made me realize how ignorant I was and that I could actually help them in some way as a citizen Protecting our own families working efficiently and paying taxes are not enough to improve our country You are my inspiration,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
सुरेश माँझी की कहानी सुनकर दिल ही दहल गया कि मेरे कानपुर में इतने बुरे और कुकर्मी लोग रहते हैं,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Coaching And Private schools mafia needs some exposure,"[2, 2, 2, 2, 2, 2, 2, 2]"
It reminds me of a south indian movie showcasing the similar case The fact that its clearly existing so freely without the fear of anything,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
एक इंसान ऐसा भी जो देश के बाहर रहकर भी हर वक्त देश के बारे में सोचता है दिल से सलाम ध्रु भाई आपको,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The story of suresh made me cry with tears,"[2, 2, 2, 2, 2, 2, 2, 2, 2]"
Let me share you some incidents I stay in Hyderabad Sometimes even when I dont have money or change to give them beggar kids follow and harass me walking with me touching and pushing me Ive faced this situation many times Even if we give them some money sometimes they harass and follow by saying they want more Some adult beggars also do this,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Aise news dikhana media ka hota h but media ka kam aaj youtubers aur dhruve bhai kr rahe h thanks dhruve bhai,"[1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1]"
This video hits hard Its painful to see how poverty is often manipulated for profit Thank you Dhruv for speaking about what most choose to ignore This needs national attention,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
I am 14 years old hame aapke video se bahut kuch sikhne ko milta hai thanku bhaiya Hame aapke video ka wait rahta hai,"[2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1]"
This is harsh reality of our country,"[2, 2, 2, 2, 2, 2, 2]"
Literally I was shocked when I listened to the story of Suresh Hats off to you,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
ive known of these gangs for over 14 years now but never seen anyone prominent bring any attention to it glad its being brought out now,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
ऐसी घटनाएं देख कर दिल दहल उठता है सुरेश के साथ जो हुआ वो किसी के साथ भी हो सकता है सही सलामत रहें,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dhruv this video was truly eyeopening The way you exposed the dark side of the begging mafia is commendable I never realized that giving money without thinking could actually fuel such exploitation Thanks for raising awareness on such a sensitive issue,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
This issue is so important and Im grateful for this video to help bring awareness to it We need more voices like yours,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
I was noticing this problem for a long time but I did not get any information about it You raised this issue It is really a big problem Thanks Dhruv Rathi,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
आप एक रियल हीरो हो जो सच बोलने ओर दिखाने की हिम्मत रखता है भारत का दुर्भाग्य है आप जैसा व्यक्ति भारत का शिक्षा मंत्री होना चाहिए।,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hats off to Dhruv Rather this is the type of news we want from you,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
This is so sad Thanks for bringing this up Be safe everyone,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv Rathee जैसा कोई Youtuber नहीं है हमारे देश में,"[2, 2, 0, 0, 2, 0, 0, 0, 0, 0]"
You are great on journalism Hats off Dhrub Rathi,"[2, 2, 2, 2, 2, 2, 2, 2, 2]"
DHRUV IS ON A MISSION TO CHANGE TODAYS GENERATION SALUTE TO HIM,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Intro is just shocked me I feel Proud that i Follow a genuine person,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Finally you are back with the quality content last couple of months felt like thin content but this one is good as it was used to Keep it up,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Our normal days is dream of many people This shows how privileged we are,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Thanks for getting onto this topic you are the only person who was brave to be able to do this,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Mujhe khusi hai koi desh se bahar rahkar bhi desh ke baare me sochta hai aur logo ko jagruk aur unite karta hai Respect to you,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2]"
Dhruv please continue this series Youre the only one who can do it,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv Bhai Dunya khatam hojaye Lakin ap ki Content Hamesha Rahe Love you,"[2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2]"
The solutions which have been discussed at the end of this video are too good,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
बिल्कुल सही वीडियो है ये किस किस को ये वीडियो बहुत सही लगी thankyou Dhruv Bhai,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1]"
Mane Hamesha Suna tha har ek beggar ke piche koi ek head hota hai But Dhruv Rathee make excellent Topic,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2]"
105 in Hunger index 134 in HDI index,"[2, 2, 2, 2, 2, 2, 2, 2]"
Mai kanpur ka hi hu mujhe ye khabar nhi sunne ko mili Thanks Dhruv,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]"
Main Andhra Pradesh se hoon yahan bhi aise hi haal hain par hum sirf ignore karte ja rahe hain Dhruv bhai sach dikhane ke liye dhanyavaad,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
Why are all the haters silent now you are the only mainstream youtuber to expose these social evils keep it up,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv Rathee is the definition of how a content should be on YouTube No reviews no illogical stunts,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
But true problems of our society,"[2, 2, 2, 2, 2, 2]"
Love from Maharashtra,"[2, 2, 1]"
I am from Kanpur and the terms Jhakarkatti and Yashoda Nagar sound so relatable by the way very nice and informative content yet again as always,"[2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
जब तक वीडियो देखता रहा रूह कांप गई शरीर के रोंगटे खड़े हो गए सुरेश जी की कहानी सुन कर,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Next level AI Dhruv bhai Im eagerly waiting for such upcoming AI content,"[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv to hai We are love you,"[2, 1, 1, 2, 2, 2, 2]"
Great programme Hope this helps us understand this socioeconomic complexity,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
एक यूट्यूबर सरकार हिला सकता है ध्रुव भाई जिंदाबाद,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dhruv beta bhut hi achhi achhi jankariya lekar aate ho tum Pr aaj to dil ko jhakjhor diya,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
If the leaders of any country watch Dhruvs videos that country will be called heaven,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Grate topic u have ever raised sir,"[2, 2, 2, 2, 2, 2, 2]"
ये है असली समस्याएं हमारे देश की,"[0, 0, 0, 0, 0, 0, 0]"
Sari duniya ek taraf or bhai ka content ek taraf,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
जो काम मेन स्ट्रीम मीडिया को करना चाहिए वो काम आप कर रहे है आप एक सच्चे देशभक्त है मै आपको दिल से मानता हु,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
सफलता हमारा परिचय दुनिया से करवाती है और असफलता हमें दुनिया का परिचय करवाती है,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How can people Be So Menace Its So Disappointing and sad at the same time,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Zabardast information dhruv bhai Humesha ki tarah,"[1, 2, 2, 1, 1, 1, 1]"
छत्तीसगढ़ से ध्रुराठी sir आपको जय जोहार,"[0, 0, 0, 2, 0, 0, 0]"
When I was 9 yrs old A uncle came to kidnap me but somehow I ran away That scene is so scary even to think about for me All praise to god who saved me,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Really you choose very unique topics Appreciation,"[2, 2, 2, 2, 2, 2, 2]"
Bhai ye sab dekh kar dil seham gaya insaan is kaliyug mein kya se kya bann gaya,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Aisi घटनाएं अभी तक सिर्फ़ फिल्मों मे देखा गया था आज रियल मे भी देख लिया सुन लिया अब भारत को विश्वगुरु बनने से कोई नहीं रोक सकता,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Good work by you and good collection of information and analysis Thanks From sanjay srivastava,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
बदल न जाना तुम दुनिया की तरह मेरा आखिरी यकीन तुम हो salute to DHRUV RATHI SIR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]"
Dhruuv hai to shayad iss desh ka kuch ho sakta hai varna yanha to har koi hm sabhi ko gummrah kar rahe hai Salute u brother,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]"
The guy who was struggled by this mafia is very horror I feel very bad for it our india have this type of humans Thanks druv rathee for giving us this information,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Thanks for spreading awareness,"[2, 2, 2, 2]"
भारत में हो रही प्राइवेट स्कूलों की लूट पर वीडियो बनाओ सच्चे और ईमानदारी से प्लीज़,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
मुझे वीडियो देखकर बहुत आनंद आया। मैं आपके सभी वीडियो देखता हूं आपके वीडियो देखने से बहुत सी बातें सीखने को मिलती हैं।,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Please do a video on Private school loots,"[2, 2, 2, 2, 2, 2, 2, 2]"
Thanks for this video really helpful,"[2, 2, 2, 2, 2, 2]"
Love from Uttrakhand,"[2, 2, 1]"
आज की वीडियो ने हिला दिया आज से आपका फैन हो गया सच्चाई आप ने ही दिखाया मीडिया वाले का काम आप कर रहे है सरकार को कुछ करना चाहिए इस सब के लिए,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ये गैंग दिल्ली में भी एक्टिव हैं और 2014 के बाद और तेज़ हो गए हैं ।,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
Wow This brings tears to my eyes This is so raw and true,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
In India Dhurv rathee Salute to you both,"[2, 2, 2, 2, 2, 2, 2, 2]"
Need of an hour Sir keep making us aware about these issues,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Next video on private school mafia,"[2, 2, 2, 2, 2, 2]"
Love you Bro From Andhra Pradesh,"[2, 2, 2, 2, 1, 1]"
Yes dhruv please a video on private school mafia,"[2, 2, 2, 2, 2, 2, 2, 2, 2]"
Watching from Sindh Pakistan Also an independent member of Provincial Assembly of Sindh Liked your opinion I raise my voice in our Sindh Assembly Soon I will present a Bill Against Beggar Mafia`s,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
यह बहुत ही दुखद घटना है ध्रुव जी अपने सच्चाई को सबके सामने लाया उसके लिए दिल से धन्यवाद,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tamil movies like 6 candles 2013 Naan Kadavul 2009 Villan 2002 have shown about these beggar Mafia Never realised that these are still happening,"[2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Just wanted to let you know that your videos are really good and helps everyone be aware of reality of the world especially India,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
ध्रुव भाई साहब इतनी कड़वी सच्चाई मुद्दे उठाते हैं जिसको भारत के बहुत सारे माफिया व्यापारी राजनीति लोग पसंद नहीं करते लेकिन सच कभी हारता नहीं,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Its really hard to accept these cruelty The government should take necessary steps to prevent these situations and rescue them My heart aches after watching this video Take our love We always be with humanity,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv brother i just salute to you for doing the great job,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
You dont just point out the problem but also explain the solutions thats the best part of your videos,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
मुझे आपके सभी वीडियो पर 100% भरोसा होता है कि आप सही कहते है,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
Indian Private School mafia pe ek video chahiye bhai,"[2, 2, 2, 2, 1, 1, 2, 1, 1]"
He is not only making videos but also try to give solution great work,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Bhai apki knowledge aur har topics diya gaya jaankari anoka aur 1000% sanchai hai apki sewa desh ko badlay,"[1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]"
ये सारी चीजों के बारे में आज कल कोई बात नहीं करता आपका धन्यवाद इतने गंभीर मुद्दे को उठाने के लिए,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Thank you for the information,"[2, 2, 2, 2, 2]"
So informative video,"[2, 2, 2]"
Dhruv Rathee वही बातें मिनटों में साफ बता देते हैं जो लोगों को सालों में समझ आती हैं। ये वीडियो सिर्फ एक वीडियो नहीं बल्कि हमारे समाज और सिस्टम का आईना है। अगर हर कोई ऐसा सोचना शुरू कर दे तो बदलाव जरूर आएगा। जिसने ये देखा और फिर भी अनदेखा किया वो अभी नहीं तो कभी जरूर जागेगा। ऐसे वीडियो उम्मीद की एक किरण हैं। Respect,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
